ApplNo,ProductNo,MarketingStatusID,TECode
12827,2,1,AA
12836,3,1,AB
12836,4,1,AB
12836,5,1,AB
13025,2,1,AP
13174,1,1,AB
13174,2,1,AB
13217,3,1,AB
13263,2,1,AB
13263,4,1,AB
13263,6,1,AB
13684,1,1,AP
13684,2,1,AP
13684,3,1,AP
13684,4,1,AP
13684,5,1,AP
13684,6,1,AP
13684,7,1,AP
13684,8,1,AP
13790,1,1,AT
13960,1,1,AT
14399,1,1,AB
14399,3,1,AB
14399,4,1,AB
14399,5,1,AB
14399,6,1,AB
14399,7,1,AB
14602,1,1,AB
14879,1,1,AP
14901,1,1,AB
15034,3,1,AB
15193,1,1,AA
15197,1,1,AB
15197,2,1,AB
15230,2,1,AA
15296,1,1,AT
16084,1,1,AB
16084,2,1,AB
16084,3,1,AB
16092,1,1,AB
16093,1,1,AP
16151,1,1,AB
16199,1,1,AB
16267,1,1,AP
16269,6,1,AP
16273,1,1,AB
16273,2,1,AB
16273,3,1,AB
16295,1,1,AB
16320,1,1,AB
16320,3,1,AB
16324,1,1,AB
16366,1,1,AP
16367,2,1,AP
16608,1,1,AB
16619,1,1,AP
16620,1,1,AB
16620,2,1,AB
16620,3,1,AB
16673,1,1,AP
16673,3,1,AP
16677,1,1,AP
16677,3,1,AP
16678,1,1,AP
16679,1,1,AP
16682,1,1,AP
16683,1,1,AP
16687,1,1,AP
16689,1,1,AP
16693,1,1,AP
16694,1,1,AP
16697,1,1,AP
16730,1,1,AP
16730,2,1,AP
16733,1,1,AT
16734,1,1,AT
16750,1,1,AP
16784,1,1,AT
16796,1,1,AP
16812,1,1,AP
16812,2,1,AP
16812,3,1,AP
16831,1,1,AT
16831,3,1,AB
16851,2,1,AB
16908,3,1,AB2
16909,2,1,AB
16964,1,1,AP
16964,4,1,AP
16964,5,1,AP
16964,6,1,AP
16964,7,1,AP
16964,8,1,AP
16964,9,1,AP
16964,10,1,AP
16964,12,1,AP
16964,13,1,AP
17001,1,1,AB
17001,2,1,AB
17010,1,1,AB
17011,1,1,AB
17016,7,1,NONE
17029,1,1,AP
17029,3,1,AP
17029,4,1,AP
17029,10,1,AP
17029,13,1,AP
17029,14,1,AP
17029,15,1,AP
17029,16,1,AP
17029,19,1,AP
17037,1,1,AP
17037,2,1,AP
17037,3,1,AP
17037,13,1,AP
17058,1,1,AA
17060,1,1,AB1
17078,1,1,AB
17078,2,1,AB
17078,3,1,AB
17105,7,1,AB
17116,2,1,AA
17340,1,1,AB
17354,1,1,AB
17355,1,1,AB
17362,2,1,AO
17373,1,1,AB
17376,1,1,AB
17376,2,1,AB
17377,1,1,AB
17377,2,1,AB
17378,1,1,AP
17378,2,1,AP
17381,1,1,AB
17398,1,1,AP
17422,1,1,AP
17426,1,1,AB
17427,1,1,AT
17428,1,1,AT
17433,1,1,AT
17433,2,1,AT
17441,1,1,BP
17442,1,1,AB
17442,2,1,AB
17442,3,1,AB
17443,1,1,AB
17443,2,1,AB
17443,3,1,AB
17447,1,1,AB
17447,2,1,AB
17453,1,1,AB
17464,1,1,AP
17469,1,1,AB
17478,1,1,BS
17512,4,1,AT
17512,5,1,AT
17512,6,1,AT
17512,12,1,AT
17512,13,1,AT
17512,14,1,AT
17512,15,1,AT
17513,1,1,AT
17514,1,1,AT
17522,1,1,AB1
17532,1,1,AB2
17532,2,1,AB2
17532,3,1,AB2
17533,1,1,AB
17533,2,1,AB
17533,3,1,AB
17534,5,1,AA
17538,1,1,AP
17555,1,1,AB
17555,2,1,AB
17555,3,1,AB
17556,1,1,AB
17563,3,1,AB
17563,4,1,AB
17579,2,1,AB
17581,4,1,AB
17584,1,1,AP
17584,2,1,AP
17585,1,1,AP
17604,3,1,AB
17604,4,1,AB
17606,1,1,AP
17607,1,1,AP
17608,1,1,AP
17624,1,1,AN
17634,1,1,AP
17634,2,1,AP
17634,4,1,AP
17635,1,1,AT
17641,1,1,AP
17643,1,1,AP
17648,1,1,AP
17648,2,1,AP
17648,5,1,AP
17651,6,1,AP
17656,1,1,AT
17681,1,1,AB
17697,1,1,AP
17765,1,1,AB
17794,1,1,AB
17794,2,1,AB
17794,3,1,AB
17799,1,1,AP
17806,1,1,AP
17808,2,1,AP
17812,1,1,AB
17812,2,1,AB
17812,3,1,AB
17830,1,1,AB
17849,1,1,AB
17849,2,1,AB
17854,1,1,AB
17854,2,1,AB
17858,1,1,AP
17865,1,1,AT
17866,1,1,AT
17867,1,1,AT
17871,1,1,AB
17874,1,1,AB
17875,1,1,AB
17876,1,1,AB
17881,1,1,NONE
17892,1,1,AB
17892,3,1,AB
17955,1,1,AB
17962,1,1,AB
17962,2,1,AB
17963,1,1,AB
17963,2,1,AB
17989,1,1,AP
18008,5,1,AP
18008,6,1,AP
18008,7,1,AP
18008,8,1,AP
18008,9,1,AP
18008,10,1,AP
18013,1,1,AB
18013,2,1,AB
18013,3,1,AB
18013,4,1,AB
18016,1,1,AP
18027,1,1,AB
18037,1,1,AP
18037,2,1,AP
18037,3,1,AP
18037,4,1,AP
18037,5,1,AP
18037,6,1,AP
18037,7,1,AP
18037,8,1,AP
18037,9,1,AP
18044,1,1,AB
18044,2,1,AB
18057,4,1,AP
18058,1,1,BS
18063,1,1,AB
18063,2,1,AB
18063,5,1,AB
18080,1,1,AP
18086,1,1,AT1
18086,2,1,AT1
18090,1,1,AP
18107,1,1,AP
18124,1,1,AP
18132,1,1,AP
18132,2,1,AP
18132,3,1,AP
18132,4,1,AP
18140,1,1,AP
18140,2,1,AP
18147,2,1,AB
18147,3,1,AB
18150,1,1,AP
18156,1,1,AT
18161,1,1,AT
18163,1,1,AB
18163,2,1,AB
18163,3,1,AB
18163,4,1,AB
18164,3,1,AB
18200,1,1,AB
18225,1,1,AB
18225,2,1,AB
18225,3,1,AB
18227,1,1,AP
18233,1,1,AP
18240,1,1,AB
18240,2,1,AB
18240,4,1,AB
18243,1,1,AP
18243,2,1,AP
18248,1,1,AP
18248,2,1,AP
18251,1,1,AP
18261,1,1,AP
18261,2,1,AP
18264,1,1,AP
18267,1,1,AP
18276,1,1,AB
18276,2,1,AB
18276,3,1,AB
18276,4,1,AB
18279,1,1,AB3
18279,3,1,AB3
18299,1,1,AT
18303,1,1,AB
18304,1,1,AP
18304,2,1,AP
18304,3,1,AP
18304,4,1,AP
18304,5,1,AP
18313,1,1,AT
18314,1,1,AT
18315,1,1,AT
18332,1,1,AB
18333,1,1,AB
18336,1,1,AT
18362,2,1,AP
18362,3,1,AP
18362,5,1,AP
18362,9,1,AP
18362,10,1,AP
18365,1,1,AP
18401,1,1,AP
18422,3,1,AB
18449,1,1,AP
18461,2,1,AP
18461,3,1,AP
18461,4,1,AP
18482,1,1,AB
18484,1,1,AP
18487,1,1,AB
18487,2,1,AB
18494,1,1,AT
18495,1,1,AT
18508,1,1,AT
18511,1,1,AP
18514,1,1,AB1
18523,1,1,AT
18553,1,1,AB
18553,2,1,AB
18553,3,1,AB
18553,4,1,AB
18558,1,1,AB
18561,1,1,AP
18563,1,1,AP
18565,1,1,AP
18565,2,1,AP
18565,3,1,AP
18565,4,1,AP
18569,1,1,AB
18569,2,1,AB
18569,5,1,AB
18578,1,1,AB
18594,1,1,AB
18602,1,1,AB
18602,2,1,AB
18602,3,1,AB
18602,4,1,AB
18604,1,1,AB
18608,1,1,AT
18609,1,1,AP
18609,2,1,AP
18615,1,1,AB
18629,1,1,AP
18629,2,1,AP
18629,3,1,AP
18629,4,1,AP
18629,5,1,AP
18629,6,1,AP
18629,7,1,AP
18629,8,1,AP
18632,1,1,AP
18632,2,1,AP
18642,1,1,AB
18651,1,1,AB
18651,2,1,AB
18651,3,1,AB
18652,1,1,AB
18657,1,1,AP
18659,1,1,AB
18659,2,1,AB
18667,1,1,AP
18671,1,1,AA
18671,2,1,AA
18679,1,1,AB
18681,1,1,AT
18692,1,1,AP
18701,1,1,AO
18701,2,1,AO
18705,2,1,AB
18714,1,1,AB
18716,2,1,AB
18716,3,1,AB
18723,1,1,AB
18723,2,1,AB
18723,3,1,AB
18735,1,1,AP1
18735,2,1,AP
18735,3,1,AP
18735,4,1,AP
18735,6,1,AP2
18735,7,1,AP
18741,1,1,AB
18748,1,1,AB
18751,1,1,AB
18760,1,1,AB
18760,2,1,AB
18800,1,1,AP
18800,2,1,AP
18800,3,1,AP
18801,2,1,AP
18801,3,1,AP
18802,1,1,AP
18803,1,1,AP
18803,2,1,AP
18803,3,1,AP
18810,1,1,AB
18823,1,1,AB
18823,2,1,AB
18826,1,1,AP
18826,2,1,AP
18826,3,1,AP
18827,1,1,AB
18829,1,1,AB
18829,2,1,AB
18832,2,1,AB
18841,4,1,AB
18849,1,1,AT
18859,1,1,AN
18861,1,1,AB
18865,1,1,AB
18866,1,1,AB
18877,1,1,AB
18883,1,1,AT
18883,2,1,AT
18883,3,1,AT
18883,4,1,AT
18883,5,1,AT
18883,6,1,AT
18888,1,1,AB
18890,2,1,AP
18891,1,1,AB
18891,2,1,AB
18891,3,1,AB
18892,1,1,AP
18893,1,1,AP
18893,2,1,AP
18893,3,1,AP
18896,1,1,AP
18897,2,1,AP
18897,3,1,AP
18900,1,1,AP
18902,1,1,AP
18916,10,1,AP
18916,11,1,AP
18921,1,1,AT
18925,1,1,AP
18927,1,1,AB
18936,1,1,AB1
18936,3,1,AB
18936,6,1,AB1
18938,1,1,AP
18948,1,1,AB
18959,1,1,AP
18960,1,1,AP
18961,1,1,AP
18963,1,1,AP
18965,1,1,AB
18977,2,1,AB
18983,12,1,AA
18998,1,1,AB
18998,2,1,AB
18998,3,1,AB
18998,5,1,AB
19011,1,1,AA
19022,1,1,AP
19022,2,1,AP
19028,1,1,AT
19034,3,1,AP
19034,4,1,AP
19034,5,1,AP
19034,6,1,AP
19034,7,1,AP
19039,1,1,AP
19044,1,1,AP
19048,1,1,AB
19049,1,1,AB
19050,1,1,AP
19071,1,1,AB
19071,2,1,AB
19071,3,1,AB
19090,1,1,AP
19099,2,1,AP
19099,3,1,AP
19099,4,1,AP
19101,1,1,AP
19115,1,1,AP
19116,1,1,AT
19117,1,1,AB1
19123,1,1,AB2
19123,2,1,AB2
19129,1,1,AB
19129,3,1,AB
19137,1,1,AB
19141,1,1,AB
19152,1,1,AB
19152,3,1,AB
19157,1,1,AA
19183,1,1,AB
19194,1,1,AB
19219,2,1,AT
19221,1,1,AB
19221,3,1,AB
19257,1,1,AA
19257,2,1,AA
19264,1,1,AP
19268,1,1,AB
19268,3,1,AB
19270,1,1,AT
19281,1,1,AP
19308,5,1,AP
19308,7,1,AP
19316,1,1,AP
19316,2,1,AP
19316,3,1,AP
19316,4,1,AP
19339,2,1,AP
19339,3,1,AP
19339,4,1,AP
19353,1,1,AP
19356,1,1,AB
19367,4,1,AP
19367,5,1,AP
19367,6,1,AP
19367,7,1,AP
19367,8,1,AP
19386,4,1,AP
19386,5,1,AP
19386,6,1,AP
19416,1,1,AT
19430,1,1,AB
19430,2,1,AB
19445,1,1,AP
19452,1,1,AT
19452,2,1,AT
19452,3,1,AT
19463,1,1,AT3
19463,2,1,AT3
19465,1,1,AP
19465,2,1,AP
19466,1,1,AP
19479,1,1,AP
19480,1,1,AP
19516,1,1,AB
19516,2,1,AB
19516,3,1,AB
19516,4,1,AB
19516,5,1,AB
19531,2,1,AP
19537,2,1,AB
19537,3,1,AB
19569,1,1,AB
19574,2,1,BX
19594,2,1,AB
19599,2,1,AB
19600,1,1,AB
19603,4,1,AP
19614,1,1,AB
19614,2,1,AB
19614,3,1,AB
19615,1,1,AP
19615,2,1,AP
19615,3,1,AP
19618,1,1,AB
19618,2,1,AB
19626,2,1,AP
19626,4,1,AP
19626,5,1,AP
19627,2,1,AB
19630,8,1,AP
19630,10,1,AP
19630,12,1,AP
19630,14,1,AP
19630,16,1,AP
19630,18,1,AP
19630,20,1,AP
19630,22,1,AP
19630,24,1,AP
19630,26,1,AP
19630,28,1,AP
19630,30,1,AP
19631,4,1,AP
19631,7,1,AP
19631,8,1,AP
19631,9,1,AP
19631,10,1,AP
19632,1,1,AP
19633,1,1,AP
19634,3,1,AP
19635,1,1,AP
19635,2,1,AP
19635,3,1,AP
19635,4,1,AP
19640,4,1,NONE
19640,5,1,NONE
19649,1,1,AB
19655,1,1,AB
19667,1,1,AP
19667,2,1,AP
19667,3,1,AP
19668,1,1,AB
19668,2,1,AB
19668,3,1,AB
19668,4,1,AB
19680,1,1,AB
19684,1,1,AB2
19684,2,1,AB2
19684,3,1,AB2
19685,2,1,AP
19686,1,1,AP
19686,2,1,AP
19691,5,1,AP
19691,9,1,AP
19699,4,1,AP
19699,6,1,AP
19700,1,1,AT
19708,4,1,AP
19734,3,1,AP
19734,4,1,AP
19737,1,1,AB
19758,1,1,AB
19758,2,1,AB
19758,3,1,AB
19758,4,1,AB
19759,1,1,AP
19763,1,1,AP
19763,2,1,AP
19764,2,1,NONE
19766,1,1,AB
19766,2,1,AB
19766,3,1,AB
19766,4,1,AB
19774,2,1,NONE
19777,1,1,AB
19777,2,1,AB
19777,3,1,AB
19777,4,1,AB
19777,5,1,AB
19777,6,1,AB
19781,1,1,AB
19781,2,1,AB
19785,1,1,AP
19787,1,1,AB
19787,2,1,AB
19787,3,1,AB
19795,1,1,AT
19796,1,1,AB
19797,1,1,AA
19797,2,1,AA
19824,1,1,AB
19828,1,1,AB
19830,2,1,AP
19830,3,1,AP
19830,4,1,AP
19839,1,1,AB
19839,2,1,AB
19839,5,1,AB
19851,1,1,AB
19851,2,1,AB
19851,3,1,AB
19851,4,1,AB
19853,1,1,AB
19854,1,1,AB
19855,1,1,AB
19865,1,1,AB
19865,2,1,AB
19865,3,1,AB
19865,5,1,AB
19869,1,1,AP
19882,1,1,AP
19884,1,1,AP
19885,1,1,AB
19885,2,1,AB
19885,3,1,AB
19885,4,1,AB
19887,1,1,AN
19888,1,1,AB
19888,2,1,AB
19888,3,1,AB
19891,1,1,AA
19892,1,1,AB
19892,2,1,AB
19892,3,1,AB
19893,1,1,AP
19901,1,1,AB
19901,2,1,AB
19901,3,1,AB
19901,4,1,AB
19904,1,1,AP
19904,2,1,AP
19904,4,1,AP
19904,5,1,AP
19904,6,1,AP
19906,1,1,AB
19906,2,1,AB
19906,3,1,AB
19908,1,1,AB
19908,2,1,AB
19909,1,1,AB
19910,1,1,AA
19921,1,1,AT
19922,1,1,AP
19931,1,1,AB
19941,1,1,AB
19949,1,1,AB
19949,2,1,AB
19949,3,1,AB
19949,4,1,AB
19952,4,1,AP
19952,5,1,AP
19953,1,1,AP
19955,1,1,AB
19955,2,1,AB
19962,1,1,AB
19962,2,1,AB
19962,3,1,AB
19962,4,1,AB
19970,1,1,AP
19970,2,1,AP
19970,3,1,AP
19992,1,1,AT
20002,1,1,AP
20006,1,1,AP
20006,2,1,AP
20006,3,1,AP
20006,4,1,AP
20031,1,1,AB
20031,2,1,AB
20031,3,1,AB
20031,5,1,AB
20033,2,1,AB
20033,3,1,AB
20033,4,1,AB
20047,1,1,AP
20047,3,1,AP
20049,2,1,AB
20051,1,1,AB
20051,2,1,AB
20051,4,1,AB
20062,1,1,AB3
20062,2,1,AB3
20062,3,1,AB3
20062,4,1,AB3
20062,5,1,AB3
20064,1,1,AB
20067,2,1,AB
20067,3,1,AB
20068,1,1,AP
20075,1,1,AP
20075,2,1,AP
20075,3,1,AP
20080,1,1,AP
20080,2,1,AB
20080,3,1,AB
20083,1,1,AB
20090,1,1,AB
20090,2,1,AB
20105,1,1,AP
20118,1,1,AN
20122,1,1,AP
20125,1,1,AB
20125,2,1,AB
20125,3,1,AB
20126,1,1,AB
20131,1,1,AP
20132,1,1,AB
20132,2,1,AB
20132,3,1,AB
20134,1,1,AP
20140,1,1,AP
20148,1,1,AB
20161,1,1,AP
20161,2,1,AP
20161,4,1,AP
20161,5,1,AP
20161,6,1,AP
20163,1,1,AT
20163,2,1,AT
20163,3,1,AT
20164,1,1,AP
20164,2,1,AP
20164,3,1,AP
20164,4,1,AP
20164,5,1,AP
20164,7,1,AP
20164,8,1,AP
20164,9,1,AB
20169,2,1,AB
20171,1,1,AT
20171,2,1,AT
20171,3,1,AT
20178,1,1,AP
20178,2,1,AP
20179,1,1,AP
20179,2,1,AP
20180,1,1,AB
20182,1,1,AP
20183,1,1,AT
20183,2,1,AT
20183,4,1,AT
20186,1,1,AB
20186,2,1,AB
20186,3,1,AB
20189,1,1,AB
20189,2,1,AB
20189,3,1,AB
20201,1,1,AP
20201,2,1,AP
20201,3,1,AP
20201,6,1,AP
20208,1,1,AB
20215,1,1,AB
20215,2,1,AB
20221,1,1,AP
20222,1,1,AB
20232,1,1,AB
20234,1,1,AB
20234,2,1,AB
20234,3,1,AB
20235,1,1,AB
20235,2,1,AB
20235,3,1,AB
20237,1,1,AB
20237,2,1,AB
20241,1,1,AB
20241,2,1,AB
20241,3,1,AB
20241,5,1,AB
20246,1,1,AB
20248,1,1,AP
20255,1,1,AP
20255,3,1,AP
20255,4,1,AP
20255,5,1,AP
20258,1,1,AT
20272,1,1,AB
20272,2,1,AB
20272,3,1,AB
20272,4,1,AB
20272,7,1,AB
20272,8,1,AB
20273,1,1,AB
20280,6,1,NONE
20281,2,1,AB
20297,1,1,AB
20297,2,1,AB
20297,3,1,AB
20297,4,1,AB
20298,1,1,AP
20309,1,1,AP
20309,2,1,AP
20309,3,1,AP
20309,4,1,AP
20309,5,1,AP
20314,1,1,AP
20329,1,1,AB
20329,2,1,AB
20329,3,1,AB
20330,1,1,AB
20330,2,1,AB
20333,1,1,AB
20334,1,1,AB
20351,1,1,AP
20351,2,1,AP
20353,1,1,AB
20353,2,1,AB
20353,3,1,AB
20356,5,1,AB
20356,7,1,AB
20356,8,1,AB
20358,2,1,AB1
20358,3,1,AB1
20358,4,1,AB1
20364,2,1,AB
20364,3,1,AB
20364,4,1,AB
20364,5,1,AB
20364,6,1,AB
20364,7,1,AB
20375,1,1,AB2
20375,2,1,AB2
20375,3,1,AB2
20375,4,1,AB2
20375,5,1,AB2
20375,6,1,AB2
20379,1,1,AP
20379,2,1,AP
20379,4,1,AP
20386,1,1,AB
20386,2,1,AB
20386,3,1,AB
20387,1,1,AB
20387,2,1,AB
20387,3,1,AB
20397,1,1,AB
20400,1,1,BT
20401,1,1,AB4
20401,2,1,AB4
20401,3,1,AB4
20401,4,1,AB4
20401,5,1,AB4
20401,6,1,AB4
20404,3,1,AB
20405,1,1,AB
20405,2,1,AB
20405,4,1,AB
20406,2,1,AB
20415,1,1,AB
20415,2,1,AB
20427,1,1,AB
20439,1,1,AT
20439,2,1,AT
20444,1,1,AP1
20444,2,1,AP1
20449,3,1,AP
20449,4,1,AP
20449,5,1,AP
20450,1,1,AP
20475,3,1,AB
20478,1,1,AN
20479,1,1,AA
20487,1,1,AB
20487,2,1,AB
20488,1,1,AP
20491,1,1,AP
20496,1,1,AB
20496,2,1,AB
20496,3,1,AB
20497,1,1,AB
20498,1,1,AB
20500,1,1,AB
20503,1,1,AB1
20504,1,1,AB
20505,1,1,AB
20505,2,1,AB
20505,4,1,AB
20505,5,1,AB
20519,1,1,AB
20529,1,1,AB
20531,1,1,AB
20533,1,1,AP
20533,2,1,AP
20533,3,1,AP
20533,4,1,AP
20533,5,1,AP
20533,6,1,AP
20533,7,1,AP
20533,8,1,AP
20533,9,1,AP
20533,10,1,AP
20533,11,1,AP
20538,5,1,AB1
20538,6,1,AB1
20538,7,1,AB1
20538,8,1,AB1
20538,9,1,AB1
20541,1,1,AB
20547,1,1,AB
20547,3,1,AB
20551,1,1,AP
20551,2,1,AP
20551,3,1,AP
20554,1,1,AB
20560,5,1,AB
20564,1,1,AB
20564,3,1,AB
20571,1,1,AP
20571,2,1,AP
20571,3,1,AP
20572,1,1,AB
20573,1,1,AB
20576,1,1,AB
20579,1,1,AB
20583,1,1,AB
20588,1,1,AA
20592,1,1,AB
20592,2,1,AB
20592,3,1,AB
20592,4,1,AB
20592,5,1,AB
20592,6,1,AB
20596,1,1,AA
20597,1,1,AT
20599,1,1,AB
20600,1,1,AB
20600,2,1,AB
20604,1,1,NONE
20604,2,1,NONE
20605,1,1,AA
20607,1,1,AB
20607,2,1,AB
20610,1,1,AB
20612,1,1,AB
20615,1,1,AP
20622,2,1,AP
20622,3,1,AP
20626,1,1,AB
20626,3,1,AB
20629,1,1,AB
20630,1,1,AP
20630,2,1,AP
20630,3,1,AP
20636,1,1,AB
20639,1,1,AB
20639,2,1,AB
20639,3,1,AB
20639,5,1,AB
20639,6,1,AB
20639,7,1,AB
20645,1,1,AP
20646,1,1,AB
20646,2,1,AB
20646,3,1,AB
20646,5,1,AB
20648,6,1,AB
20648,7,1,AB
20649,2,1,AP
20649,3,1,AP
20649,4,1,AP
20657,1,1,AA
20666,1,1,AB
20671,1,1,AP
20675,1,1,AB
20675,2,1,AB
20682,1,1,AB
20682,2,1,AB
20682,3,1,AB
20687,1,1,AB
20690,1,1,AB
20690,2,1,AB
20697,1,1,AB
20699,1,1,AB
20699,2,1,AB
20699,4,1,AB
20702,1,1,AB
20702,2,1,AB
20702,3,1,AB
20702,4,1,AB
20702,5,1,AA
20710,1,1,AB
20712,1,1,AB
20712,2,1,AB
20712,3,1,AB
20717,1,1,AB
20717,2,1,AB
20723,1,1,AB
20726,1,1,AB
20727,1,1,AB
20742,1,1,AT
20746,1,1,AB
20748,1,1,AB
20753,1,1,AB
20757,1,1,AB
20757,2,1,AB
20757,3,1,AB
20758,2,1,AB
20758,3,1,AB
20763,1,1,AB
20763,2,1,AB
20764,1,1,AB
20764,2,1,AB
20764,4,1,AB
20768,1,1,AB
20768,2,1,AB
20769,1,1,AB2
20771,1,1,AB
20771,2,1,AB
20780,1,1,AB
20780,2,1,AB
20785,4,1,AB
20788,1,1,AB
20789,1,1,AB
20789,3,1,AB
20793,1,1,AP
20796,1,1,AB
20800,3,1,BX
20800,4,1,BX
20803,1,1,AB
20815,1,1,AB
20816,1,1,AB
20818,1,1,AB
20818,2,1,AB
20818,3,1,AB
20818,4,1,AB
20818,5,1,AB
20819,1,1,AP
20819,2,1,AP
20819,3,1,AP
20822,1,1,AB
20822,2,1,AB
20822,3,1,AB
20825,1,1,AB
20825,2,1,AB
20825,3,1,AB
20825,4,1,AB
20829,2,1,AB
20830,1,1,AB
20830,2,1,AB
20835,1,1,AB
20835,2,1,AB
20835,3,1,AB
20835,5,1,AB
20837,1,1,AN
20837,2,1,AN
20837,3,1,AN
20837,4,1,AN
20838,1,1,AB
20838,2,1,AB
20838,3,1,AB
20838,4,1,AB
20839,1,1,AB
20839,2,1,AB
20844,1,1,AB
20844,2,1,AB
20845,3,1,AA
20850,1,1,AB
20850,2,1,AB
20850,3,1,AB
20855,1,1,AB
20857,1,1,AB
20859,1,1,AB
20859,2,1,AB
20862,1,1,AB
20862,2,1,AB
20862,3,1,AB
20864,2,1,AB
20865,2,1,AB
20869,1,1,AT1
20873,1,1,AP
20882,1,1,AB1
20882,2,1,AB1
20884,1,1,AB
20892,1,1,AO
20895,1,1,AB
20895,2,1,AB
20895,3,1,AB
20896,1,1,AB
20896,2,1,AB
20897,1,1,AB
20897,2,1,AB
20901,1,1,AB
20903,2,1,AB
20905,1,1,AB
20905,2,1,AB
20907,1,1,AB
20908,2,1,AB
20913,2,1,AP
20913,3,1,AP
20919,1,1,AP
20928,1,1,AP
20929,1,1,AN
20929,2,1,AN
20929,3,1,AN
20931,1,1,AB
20931,2,1,AB
20931,3,1,AB
20933,1,1,AA
20934,1,1,AB
20936,1,1,AB
20936,2,1,AB
20936,3,1,AB
20938,1,1,AB
20938,2,1,AB
20949,1,1,AN
20949,2,1,AN
20954,1,1,AP
20955,1,1,AB
20963,1,1,AB
20963,2,1,AB
20972,1,1,AB
20972,3,1,AB
20973,2,1,AB
20977,1,1,AB
20978,1,1,AA
20983,1,1,BX
20987,1,1,AB
20987,2,1,AB
20988,1,1,AP
20989,2,1,AB
20990,1,1,AA
20998,1,1,AB
20998,2,1,AB
20998,3,1,AB
20998,4,1,AB
21003,1,1,AB
21006,1,1,AB
21008,1,1,AB
21008,2,1,AB
21008,3,1,AB
21009,1,1,AT
21011,1,1,AB
21011,2,1,AB
21011,3,1,AB
21014,1,1,AB
21014,2,1,AB
21014,3,1,AB
21015,1,1,AB1
21015,2,1,AB1
21015,3,1,AB1
21016,1,1,AB
21016,2,1,AB
21022,1,1,AT
21027,1,1,AP
21027,2,1,AP
21029,1,1,AB
21029,2,1,AB
21029,3,1,AB
21029,4,1,AB
21029,5,1,AB
21029,6,1,AB
21035,1,1,AB
21035,2,1,AB
21035,3,1,AB
21035,4,1,AB
21038,1,1,AP
21038,2,1,AP
21038,3,1,AP
21038,4,1,AP
21038,5,1,AP
21055,1,1,AB
21056,1,1,AB
21057,1,1,AP
21068,1,1,AA
21073,1,1,AB
21073,2,1,AB
21073,3,1,AB
21077,1,1,AB
21077,2,1,AB
21077,3,1,AB
21078,1,1,AB
21078,2,1,AB
21083,1,1,AA
21086,1,1,AB
21086,2,1,AB
21086,3,1,AB
21086,4,1,AB
21087,1,1,AB
21087,2,1,AB
21087,3,1,AB
21090,1,1,AB
21093,1,1,AB
21093,2,1,AB
21093,3,1,AB
21098,1,1,AB
21107,1,1,AB
21107,2,1,AB
21110,1,1,AB
21110,2,1,AB
21110,4,1,AB
21113,1,1,AP1
21113,2,1,AP1
21116,1,1,AB1
21116,1,1,AB2
21116,1,1,AB3
21116,1,1,AB4
21116,2,1,AB1
